DETAILS
================
Computername............: My_Windows_Computer
Operatingsystem.........: Microsoft Windows XP Service Pack 2
OS Product ID...........: 12345-640-1234567-23746
OS Registered Org.......: Example Company
OS Registered owner.....: Example Owner
Open-SIS Timestamp......: Mon 25 Sep 2006 12:03:34 
Open-SIS Scriptverion...: 0.0.3
==SOFTWARE===================
Windows Driver Package - Nokia Modem  (04/06/2006 6.8.0.17)|04/06/2006 6.8.0.17|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\010D072E91408D6B7C6FC65489B6D30C027605F5
Ad-Aware SE Professional|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Ad-Aware SE Professional
AddressBook|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook
Adobe SVG Viewer 3.0| 3.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Adobe SVG Viewer
ATI Display Driver|8.163.1.1-051004a1-027800C-IBM|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\ATI Display Driver
AXIS Media Control Embedded|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\AXIS Media Control Embedded
Big Free Clock|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Big Free Clock
BlueScanner 1.1.1.0|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\BlueScanner_is1
ThinkPad Integrated 56K Modem|7.22.00.52|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\CNXT_MODEM_PCI_VEN_8086&DEV_24C6&SUBSYS_05591014
Connected DataProtector|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Connected
Connection Manager|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager
Cygwin B20|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Cygnus Cygwin B20
GnuWin32: DiffUtils version 2.8.7|2.8.7|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\DiffUtils-2.8.7_is1
DirectAnimation|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\DirectAnimation
DirectDrawEx|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx
The Dude|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Dude
DVDExpress|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\DVD Express A/V Pak
DXM_Runtime|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime
Fontcore|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore
HASP HL Device Driver|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\HASP HL Device Driver
ICW|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\ICW
IE40|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\IE40
IE4Data|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data
IE5BAKEX|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX
IEData|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\IEData
InstallShield Uninstall Information|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield Uninstall Information
QuickTime|7.0.4|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{929408E6-D265-4174-805F-81D1D914E2A4}
GFS SAP Mobile Engine 2.1|2.1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{D92633F9-FBBD-11D5-B481-006008F1DFC0}
Windows XP Hotfix - KB833407|20040119.115651|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB833407
Windows XP Hotfix - KB873339|20041117.092459|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB873339
KB884016|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB884016
Windows XP Hotfix - KB885250|20050118.202711|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB885250
Windows XP Hotfix - KB885835|20041027.181713|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB885835
Windows XP Hotfix - KB885836|20041028.173203|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB885836
Windows XP Hotfix - KB888113|20041116.131036|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB888113
Windows XP Hotfix - KB888302|20041207.111426|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB888302
Windows XP Hotfix - KB888603|20050202.080306|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB888603
Security Update for Windows XP (KB890046)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB890046
Windows XP Hotfix - KB890859|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB890859
Windows XP Hotfix - KB891781|20050110.165439|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB891781
Security Update for Windows XP (KB893066)|2|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB893066
Security Update for Windows XP (KB893756)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB893756
KB893803|3.1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB893803
Windows Installer 3.1 (KB893803)|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB893803v2
Security Update for Windows XP (KB896358)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB896358
Security Update for Windows XP (KB896422)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB896422
Security Update for Windows XP (KB896423)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB896423
Security Update for Windows XP (KB896424)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB896424
